step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,,,,,"""Philosophers""",,,,,,,,,
2,sa1840imprentaenp1-english-first,0.47766850312539744,0.3622073698993034,1.5,,Why are the judgments of the Philosophers italicized?,Simon Rodriguez italicizes the actions of every variety of species of men that opens books. This was intentionally done to emphasize the activities done by each varient.,,Learn More,group-project-philosophers.md,,,,,
3,sa1840imprentaenp2-english-first,0.5057004165109896,0.34264463168162496,2.086936001716312,,"Why does the author capitalizes and bold ""Philosphers"" and not""Genius"" and ""Exactness?"" ","Rodriguez capitalizes and bolds ""PHILOSOPHERS"" because it is the primary focus of this section. The capitalization of ""GENIUS"" and ""EXACTNESS"" presents them as of secondary importance to describe the main topic, which is ""Philosophers.""",,"Further explanition ",group-project-learn-more.md,,,,,
4,,,,,,People,,,,,,,,,
5,sa1842cycleenp1-english-first,0.5115580675638606,0.30057139034717,1.296,,"Why does Rodriguez believe the poor should be educated? ","Rodriguez argues that society shouldn't have ""ignorant and poor classes"" and that this problems can be address through ""Social Education."" Rodriguez thought that educating people from childhood can help make a more equal society, prevent poverty, and stop ignorance from continuing. ",,Detail,group-project-rodriguez-beliefs-about.md,,,,,
6,sa1840imprentaenp2-english-first,0.5016838655379726,0.6828145678305972,2.9049770694872916,,Why does Rodriguez Italicize and bold this paragraph?,"Simon Rodriguez Italicized and bolded this section because he wanted to this brief reflection to visually stand out and carry an urgency (also expressed through exclamation marks) that he wants to transmit to the people and readers. ",,Learn more,group-project-step6-layer1.md,,,,,
7,,,,,,Filling the Gap,"In order to bridge the divide between ""Philosophers"" and ""the people,"" Rodriguez implores social education must be placed into order.",,,,,,,,
8,sa1840imprentaenp2-english-first,0.5031661750383419,0.25705966230240784,1.9537199999999997,,What does the emphasis of the first line imply?,"The capitalization of ""COMMON FEELING"" underscores the notion of universality, of the thread that connects us all as a people, philosophers or unalike, this case it being a standardized education.",,,,,,,,
